ListId,FieldId,InternalName,Name,TypeAsString,Required,Hidden,TermSetId,ScanId,SiteUrl,WebUrl
4dedfe3e-7350-43c7-948a-db981312b102,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Design,/
4dedfe3e-7350-43c7-948a-db981312b102,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Design,/
4dedfe3e-7350-43c7-948a-db981312b102,5cf76f15-5ced-4ddc-b409-7134ff3c332f,MediaServiceImageTags,Image Tags,TaxonomyFieldTypeMulti,False,False,09814cd3-568e-fe90-9814-8d621ff8fb84,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Design,/
4dedfe3e-7350-43c7-948a-db981312b102,7c51d632-27e0-f6f7-a5d6-ed67b68bd369,lcf76f155ced4ddcb4097134ff3c332f,Image Tags_0,Note,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Design,/
4dedfe3e-7350-43c7-948a-db981312b102,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/DigitalInitiativePublicRelations,/
4dedfe3e-7350-43c7-948a-db981312b102,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/DigitalInitiativePublicRelations,/
9d0aca7e-c108-4353-850f-22f022cb59fb,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/FlySafeConference,/
9d0aca7e-c108-4353-850f-22f022cb59fb,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/FlySafeConference,/
9d0aca7e-c108-4353-850f-22f022cb59fb,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/GlobalMarketing,/
9d0aca7e-c108-4353-850f-22f022cb59fb,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/GlobalMarketing,/
9d0aca7e-c108-4353-850f-22f022cb59fb,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/GlobalSales,/
9d0aca7e-c108-4353-850f-22f022cb59fb,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/GlobalSales,/
9d0aca7e-c108-4353-850f-22f022cb59fb,5cf76f15-5ced-4ddc-b409-7134ff3c332f,MediaServiceImageTags,Image Tags,TaxonomyFieldTypeMulti,False,False,09814cd3-568e-fe90-9814-8d621ff8fb84,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/GlobalSales,/
9d0aca7e-c108-4353-850f-22f022cb59fb,7c51d632-27e0-f6f7-a5d6-ed67b68bd369,lcf76f155ced4ddcb4097134ff3c332f,Image Tags_0,Note,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/GlobalSales,/
9d0aca7e-c108-4353-850f-22f022cb59fb,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/HumanResources,/
9d0aca7e-c108-4353-850f-22f022cb59fb,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/HumanResources,/
9d0aca7e-c108-4353-850f-22f022cb59fb,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Learning,/
9d0aca7e-c108-4353-850f-22f022cb59fb,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Learning,/
9d0aca7e-c108-4353-850f-22f022cb59fb,5cf76f15-5ced-4ddc-b409-7134ff3c332f,MediaServiceImageTags,Image Tags,TaxonomyFieldTypeMulti,False,False,09814cd3-568e-fe90-9814-8d621ff8fb84,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Learning,/
9d0aca7e-c108-4353-850f-22f022cb59fb,7c51d632-27e0-f6f7-a5d6-ed67b68bd369,lcf76f155ced4ddcb4097134ff3c332f,Image Tags_0,Note,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Learning,/
9d0aca7e-c108-4353-850f-22f022cb59fb,de38f937-8578-435e-8cd3-50be3ea59253,MediaLengthInSeconds,MediaLengthInSeconds,Integer,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Learning,/
b5a1fa92-58a2-4ac3-a982-e8c9a8c6865e,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/MajaDemo,/
b5a1fa92-58a2-4ac3-a982-e8c9a8c6865e,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/MajaDemo,/
4dedfe3e-7350-43c7-948a-db981312b102,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Mark8ProjectTeam,/
4dedfe3e-7350-43c7-948a-db981312b102,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Mark8ProjectTeam,/
4dedfe3e-7350-43c7-948a-db981312b102,5cf76f15-5ced-4ddc-b409-7134ff3c332f,MediaServiceImageTags,Image Tags,TaxonomyFieldTypeMulti,False,False,09814cd3-568e-fe90-9814-8d621ff8fb84,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Mark8ProjectTeam,/
4dedfe3e-7350-43c7-948a-db981312b102,7c51d632-27e0-f6f7-a5d6-ed67b68bd369,lcf76f155ced4ddcb4097134ff3c332f,Image Tags_0,Note,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Mark8ProjectTeam,/
4dedfe3e-7350-43c7-948a-db981312b102,97dfa283-6ba8-4e68-ab6f-846e53f6d381,_ip_UnifiedCompliancePolicyProperties,Unified Compliance Policy Properties,Note,False,False,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Mark8ProjectTeam,/
4dedfe3e-7350-43c7-948a-db981312b102,a925f967-0e5c-443a-ab36-18749634253f,_ip_UnifiedCompliancePolicyUIAction,Unified Compliance Policy UI Action,Text,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Mark8ProjectTeam,/
9d0aca7e-c108-4353-850f-22f022cb59fb,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/ProjectFalcon-UXtest,/
9d0aca7e-c108-4353-850f-22f022cb59fb,345b4112-babf-4642-ba31-c8f9eaf3b57a,_HasUserDefinedProtection,HasUserDefinedProtection,Lookup,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/ProjectFalcon-UXtest,/
9d0aca7e-c108-4353-850f-22f022cb59fb,de38f937-8578-435e-8cd3-50be3ea59253,MediaLengthInSeconds,MediaLengthInSeconds,Integer,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/ProjectFalcon-UXtest,/
4dedfe3e-7350-43c7-948a-db981312b102,321bc046-2178-49bd-893f-7aa4fd61d04e,PolicyDisabledUICapabilities,Actions Disabled by Policy,Computed,False,True,00000000-0000-0000-0000-000000000000,d78ccbb9-e9c9-4549-a710-fa4fc44ef672,https://m365x94377144.sharepoint.com/sites/Remoteliving,/
